modelID,Ncont
3002,47
5001,1
6005,90
7002,14
8013,30
11006,3
12007,8
14004,49
15006,6
16001,21
17001,2
18011,17
20001,18
20003,1
20013,1
25007,65
26001,2
26005,7
27002,4
30001,0
33001,34
37002,1
39001,20
41001,83
43001,0
48020,1
48023,5
52001,129
53001,49
55002,59
60001,2
62002,1
63001,1
64001,1
65004,547
66001,1
67001,0
68001,71
70001,10
71001,0
72001,0
74001,20
75005,46
75008,2
76002,4
76016,0
76019,1
78001,2
79001,2
81001,6
82001,17
83001,0
84006,3
85001,3
86009,2
86015,4
87001,3
88001,51
88003,2
90001,0
91001,12
91003,47
92025,14
94001,1
97007,0
100001,4
107001,0
110001,0
111001,0
113001,0
116001,4
118001,13
119001,268
120001,6
122001,9
122003,0
122005,2
123001,0
128001,76
132006,551
133025,13
134001,82
134004,1
135001,1
136008,101
138010,1
140001,144
141001,85
144008,0
148001,37
152008,0
156001,0
156005,0
157013,4
159017,6
163001,160
164001,53
168001,11
173001,121
174001,19
175021,6
177001,0
179001,8
181001,2
184001,1
184004,76
186001,0
190001,275
191001,141
193001,287
194001,0
196001,6
200001,4
200003,0
201001,14
205001,108
207007,4
214001,2
217003,1
218001,291
219001,7
220001,3
221001,8
222001,97
223001,0
225001,1
225007,10
229001,0
230001,25
231001,3
233002,49
236001,0
238001,6
239001,1
240001,29
241001,39
242001,170
249001,61
250010,240
251001,22
256001,54
257009,28
262004,3
262006,3
269001,13
278001,1
278015,0
282001,0
285002,1
296001,0
298001,0
304005,3
307003,0
325001,18
328006,2
328010,1
329002,0
332001,8
333001,666
334005,51
340001,292
341001,2
343001,9
345001,2
346001,0
347001,2
348008,17
351001,3
352002,0
353001,0
356001,0
358001,0
365001,168
372001,17
377001,0
378002,41
378006,15
382003,0
385002,0
385003,0
387001,176
389001,12
395004,2
398002,2
410008,6
418001,2
419001,2
420001,24
420004,1
421001,2
423001,93
424001,1
427002,11
435003,3
447016,22
448001,1
450003,0
458001,0
461003,0
462001,0
462004,1
463004,88
466003,0
468001,0
468002,8
469001,0
472001,30
473004,1
474001,1
486002,8
488001,1
491001,27
492001,12
499001,9
517001,2
518027,0
519001,15
520001,13
521001,21
524001,1
524004,0
527001,0
533001,10
534004,36
537001,7
540001,214
541001,13
543014,19
544003,9
546001,39
549001,0
550001,75
551001,1
552001,1
553001,0
558002,0
563001,2
564001,4
566001,10
573001,0
576004,3
584006,4
587001,165
588001,8
591001,1217
592001,5
594001,7
600001,38
607001,0
607004,0
609001,11
610001,11
611001,2
613001,14
615019,26
616001,1
621001,262
623001,1
623003,4
623005,1
624001,0
625001,7
626001,269
628001,2
629005,6
631001,12
632001,1
633001,8
636001,0
640005,3
645001,6
646001,11
655001,21
656011,0
657001,10
658001,2
659001,2
661001,4
662001,3
664001,26
666001,4
668001,0
669001,6
672001,16
673001,16
674001,17
675001,18
677001,0
678001,23
683003,37
689001,3
693001,0
694001,55
697001,0
699001,8
702001,4
706001,0
707001,4
707002,18
709006,27
716001,185
718001,0
718013,34
718027,6
719001,0
719003,0
719007,2
720001,4
720007,0
721001,5
724001,22
728009,4
734003,0
742001,6
747001,0
748009,101
749003,178
749004,0
750002,19
752001,137
753001,71
753004,72
754001,0
765002,3
768001,16
768008,7
768014,1
768020,2
769001,5
771001,2
774001,160
775007,0
776001,6
786001,0
786002,0
787001,318
788001,1
790001,16
791003,0
794004,3
797001,1
798001,0
798002,4
800003,14
803001,17
806001,99
808001,0
808004,0
809001,0
812001,68
815001,2
823001,23
834010,0
835001,0
835002,0
836001,1
839002,3
840004,8
841001,1
848001,0
850001,104
851001,0
862001,2
863001,82
864004,7
869001,1
870001,208
871001,11
872001,0
873001,1
875001,0
876001,10
877001,0
892001,17
893013,158
896001,1
900001,0
902001,87
902002,70
904001,109
907001,0
908001,15
913003,356
922001,0
926001,1
926002,0
930001,3
931002,1
932001,2
933001,0
937001,8
939001,0
940001,2
943001,27
943004,6
948001,0
948004,0
948036,0
949005,40
953001,2
