modelID seqlen tmalign RMSD proq4 pcons qmean DAN
DP00005r001_1 107 0.20006 29.16 0.299 0.319 0.506 0.384
DP00005r001_2 107 0.22235 30.98 0.343 0.418 0.5670000000000001 0.3720000000000001
DP00005r001_3 107 0.20396 31.16 0.358 0.29100000000000004 0.532 0.38
DP00005r001_4 107 0.22011 30.73 0.341 0.408 0.604 0.373
DP00005r001_5 107 0.20599 30.89 0.344 0.4370000000000001 0.55 0.391
DP00006r005_1 104 0.67848 4.26 0.529 0.8370000000000001 0.575 0.49
DP00006r005_2 104 0.69896 3.65 0.537 0.9109999999999999 0.598 0.5
DP00006r005_3 104 0.69014 3.56 0.514 0.895 0.6 0.5329999999999999
DP00006r005_4 104 0.70444 3.45 0.519 0.904 0.595 0.518
DP00006r005_5 104 0.69525 3.68 0.564 0.914 0.595 0.53
DP00011r006_1 46 0.48194 4.91 0.293 0.778 0.595 0.448
DP00011r006_2 46 0.46533 4.01 0.243 0.726 0.568 0.5
DP00011r006_3 46 0.47621 5.34 0.261 0.655 0.516 0.474
DP00011r006_4 46 0.48752 3.92 0.253 0.773 0.581 0.509
DP00011r006_5 46 0.48563 4.61 0.28 0.7440000000000001 0.61 0.505
DP00015r006_1 76 0.4115 4.01 0.252 0.875 0.466 0.49
DP00015r006_2 76 0.42727 3.17 0.262 0.738 0.46 0.494
DP00015r006_3 76 0.42286 4.5 0.237 0.775 0.485 0.47
DP00015r006_4 76 0.41953999999999997 3.94 0.253 0.9059999999999999 0.491 0.578
DP00015r006_5 76 0.40948 3.85 0.236 0.882 0.511 0.598
DP00016r001_1 164 0.56181 6.46 0.354 0.7809999999999999 0.47200000000000003 0.303
DP00016r001_2 164 0.55778 7.9 0.335 0.7559999999999999 0.46299999999999997 0.282
DP00016r001_3 164 0.5502199999999999 6.51 0.303 0.7979999999999999 0.456 0.295
DP00016r001_4 164 0.57717 5.33 0.317 0.753 0.45799999999999996 0.294
DP00016r001_5 164 0.54422 8.13 0.3670000000000001 0.7709999999999999 0.46399999999999997 0.297
DP00017r001_1 316 0.29508 25.13 0.242 0.4320000000000001 0.31 0.224
DP00017r001_2 316 0.28592 24.59 0.236 0.33899999999999997 0.442 0.201
DP00017r001_3 316 0.29018 26.26 0.236 0.359 0.327 0.206
DP00017r001_4 316 0.2376 27.9 0.262 0.313 0.299 0.219
DP00017r001_5 316 0.27505 26.67 0.245 0.365 0.322 0.209
DP00018r011_1 198 0.39159 17.37 0.366 0.435 0.507 0.271
DP00018r011_2 198 0.47653 16.59 0.335 0.513 0.531 0.261
DP00018r011_3 198 0.43573 15.69 0.353 0.531 0.515 0.267
DP00018r011_4 198 0.4265 16.23 0.349 0.4970000000000001 0.55 0.252
DP00018r011_5 198 0.39749 16.83 0.264 0.406 0.49 0.214
DP00026r001_1 40 0.36782 8.21 0.256 0.9179999999999999 0.779 0.6509999999999999
DP00026r001_2 40 0.35067 8.37 0.26 0.863 0.542 0.569
DP00026r001_3 40 0.35406 8.46 0.251 0.85 0.757 0.713
DP00026r001_4 40 0.3683 8.19 0.255 0.9179999999999999 0.775 0.6859999999999999
DP00026r001_5 40 0.36772 8.19 0.257 0.919 0.777 0.662
DP00026r005_1 65 0.4294 9.39 0.36 0.929 0.47692307689999996 0.52
DP00026r005_2 65 0.42933000000000004 9.45 0.341 0.9229999999999999 0.4923076923 0.528
DP00026r005_3 65 0.42938999999999994 9.16 0.342 0.887 0.4923076923 0.563
DP00026r005_4 65 0.43555 9.23 0.35 0.8590000000000001 0.5076923077000001 0.516
DP00026r005_5 65 0.42943000000000003 9.63 0.35600000000000004 0.8959999999999999 0.5230769231 0.478
DP00027r002_1 57 0.36219 10.37 0.451 0.9229999999999999 0.741 0.602
DP00027r002_2 57 0.38636 10.47 0.387 0.86 0.462 0.443
DP00027r002_3 57 0.35891999999999996 10.19 0.493 0.9279999999999999 0.78 0.568
DP00027r002_4 57 0.37321 10.09 0.419 0.909 0.767 0.562
DP00027r002_5 57 0.37774 10.1 0.419 0.922 0.769 0.581
DP00033r001_1 351 0.42658999999999997 4.1 0.317 0.601 0.32899999999999996 0.192
DP00033r001_2 351 0.41943 4.06 0.316 0.613 0.33799999999999997 0.193
DP00033r001_3 351 0.40709 4.63 0.321 0.574 0.34700000000000003 0.21600000000000005
DP00033r001_4 351 0.34187 4.44 0.316 0.562 0.45 0.16699999999999998
DP00033r001_5 351 0.40442 4.32 0.34 0.534 0.309 0.204
DP00037r002_1 54 0.32315 11.29 0.308 0.665 0.519 0.526
DP00037r002_2 54 0.32469000000000003 11.17 0.294 0.6579999999999999 0.512 0.51
DP00037r002_3 54 0.33192 10.23 0.325 0.736 0.483 0.51
DP00037r002_4 54 0.33728 10.62 0.32 0.7390000000000001 0.506 0.54
DP00037r002_5 54 0.33458000000000004 9.88 0.327 0.6920000000000001 0.5539999999999999 0.53
DP00041r001_1 204 0.41238 16.92 0.539 0.483 0.568 0.491
DP00041r001_2 204 0.40884000000000004 21.54 0.523 0.475 0.5589999999999999 0.472
DP00041r001_3 204 0.40867 21.47 0.534 0.489 0.568 0.504
DP00041r001_4 204 0.41042 20.97 0.536 0.4920000000000001 0.5710000000000001 0.481
DP00041r001_5 204 0.40856 20.0 0.5429999999999999 0.473 0.569 0.491
DP00048r020_1 39 0.33771999999999996 4.05 0.274 0.478 0.507 0.453
DP00048r020_2 39 0.40253 4.39 0.231 0.546 0.445 0.439
DP00048r020_3 39 0.34229 5.04 0.236 0.429 0.48100000000000004 0.41
DP00048r020_4 39 0.38068 4.65 0.275 0.542 0.4270000000000001 0.45
DP00048r020_5 39 0.37877 6.07 0.349 0.441 0.5329999999999999 0.428
DP00048r023_1 83 0.1034 15.36 0.233 0.628 0.6024096386000001 0.362
DP00048r023_2 83 0.11115 14.87 0.239 0.598 0.6506024096 0.371
DP00048r023_3 83 0.10611 14.16 0.213 0.496 0.6385542169 0.378
DP00048r023_4 83 0.10002 16.32 0.218 0.596 0.6506024096 0.386
DP00048r023_5 83 0.12087 12.52 0.233 0.4920000000000001 0.6385542169 0.37
DP00052r001_1 285 0.38425 14.11 0.449 0.506 0.485 0.297
DP00052r001_2 285 0.40831 13.09 0.477 0.496 0.474 0.3
DP00052r001_3 285 0.39625 14.5 0.456 0.46299999999999997 0.473 0.292
DP00052r001_4 285 0.41828000000000004 11.2 0.476 0.506 0.48100000000000004 0.324
DP00052r001_5 285 0.37198000000000003 14.45 0.479 0.494 0.473 0.334
DP00053r001_1 101 0.20569 7.99 0.522 0.843 0.685 0.705
DP00053r001_2 101 0.23443000000000003 3.76 0.522 0.838 0.6920000000000001 0.7659999999999999
DP00053r001_3 101 0.20418 5.64 0.532 0.85 0.6809999999999999 0.738
DP00053r001_4 101 0.21969 9.26 0.525 0.815 0.7040000000000001 0.754
DP00053r001_5 101 0.21055 4.37 0.54 0.8490000000000001 0.693 0.74
DP00055r002_1 73 0.68043 4.68 0.643 0.91 0.654 0.5920000000000001
DP00055r002_2 73 0.68767 4.65 0.627 0.9279999999999999 0.6559999999999999 0.586
DP00055r002_3 73 0.68465 4.32 0.627 0.907 0.642 0.5920000000000001
DP00055r002_4 73 0.68698 4.7 0.613 0.8690000000000001 0.6659999999999999 0.542
DP00055r002_5 73 0.68032 4.58 0.638 0.9 0.649 0.588
DP00063r001_1 50 0.24195999999999998 17.67 0.209 0.8859999999999999 0.513 0.8740000000000001
DP00063r001_2 50 0.2418 17.51 0.23 0.843 0.52 0.728
DP00063r001_3 50 0.24185 17.74 0.205 0.872 0.488 0.8809999999999999
DP00063r001_4 50 0.24222 17.69 0.219 0.879 0.514 0.805
DP00063r001_5 50 0.24204 17.12 0.217 0.67 0.513 0.75
DP00065r004_1 555 0.22560999999999998 25.07 0.519 0.254 0.5837837838000001 0.304
DP00065r004_2 555 0.21525 26.2 0.514 0.24100000000000002 0.5837837838000001 0.321
DP00065r004_3 555 0.2301 25.58 0.521 0.289 0.5729729729999999 0.324
DP00065r004_4 555 0.18946 29.3 0.516 0.293 0.5531531532 0.29600000000000004
DP00065r004_5 555 0.17669 30.86 0.509 0.294 0.5495495495 0.294
