modelID,RMSD,lddt,pcons,proq4,dan,seqlength,tmalign
DP02524r002_3,3.49,0.18,0.695,0.517,0.421,278,0.05163
DP02524r002_2,1.84,0.1798,0.7,0.54,0.422,278,0.05971
DP02524r002_1,1.85,0.1827,0.48,0.525,0.39,278,0.05972
DP02524r002_4,1.83,0.181,0.707,0.515,0.43,278,0.05973
DP02524r002_5,1.86,0.1757,0.701,0.525,0.427,278,0.05973
DP01119r004_2,3.38,0.155,0.342,0.292,0.334,137,0.06264
DP01119r004_4,3.37,0.1644,0.43,0.291,0.335,137,0.06268
DP01119r004_5,3.36,0.1707,0.424,0.306,0.334,137,0.06269
DP01119r004_1,3.36,0.1689,0.457,0.304,0.312,137,0.06274
DP01119r004_3,3.44,0.1511,0.276,0.256,0.328,137,0.06276
DP01280r001_4,3.19,0.5051,0,0.116,0.504,40,0.06707
DP01280r001_3,3.22,0.4945,0,0.115,0.522,40,0.06865
DP01452r003_2,24.34,0.1711,0.141,0.268,0.264,93,0.07775
DP01452r003_3,22.62,0.1685,0.158,0.239,0.244,93,0.08215
DP01452r003_4,24.36,0.1682,0.141,0.258,0.25,93,0.08268
DP01452r003_1,22.84,0.176,0.157,0.274,0.24,93,0.08276
DP01452r003_5,23.63,0.1697,0.132,0.232,0.221,93,0.08636
DP01611r002_3,12.27,0.1008,0.194,0.424,0.141,395,0.09047
DP02497r001_4,3.69,0.2837,0,0.384,0.354,226,0.09103
DP01611r002_1,12.33,0.1012,0.17,0.411,0.132,395,0.09138
DP00133r025_2,5.65,0.7991,0.119,0.36,0.218,300,0.09155
DP01611r002_5,12.4,0.0991,0.194,0.428,0.144,395,0.09174
DP01611r002_4,12.33,0.1027,0.204,0.416,0.14,395,0.09249
DP02086r001_5,17.43,0.1261,0.219,0.313,0.276,142,0.09289
DP01611r002_2,12.27,0.1033,0.189,0.434,0.138,395,0.09408
DP00775r007_1,3.84,0.6271,0.413,0.442,0.512,218,0.09605
DP00133r025_5,3.88,0.6962,0.11,0.367,0.206,300,0.09875
DP00048r023_4,16.32,0.1272,0.596,0.218,0.386,83,0.10002
DP00133r025_1,3.92,0.8431,0.116,0.369,0.222,300,0.10015
DP02497r001_3,2.95,0.2598,0,0.38,0.324,226,0.10031
DP02086r001_3,17.75,0.1232,0.23,0.288,0.266,142,0.10228
DP00775r007_4,2.96,0.6405,0.628,0.47,0.538,218,0.10311
DP00048r023_1,15.36,0.1264,0.628,0.233,0.362,83,0.1034
DP00133r025_3,3.54,0.8329,0.116,0.341,0.221,300,0.10417
DP01943r001_3,11.33,0.1783,0.838,0.258,0.426,62,0.10454
DP01943r001_5,11.04,0.1654,0.771,0.35,0.575,62,0.10509
DP01943r001_1,10.83,0.1702,0.814,0.265,0.542,62,0.10514
DP02086r001_1,16.82,0.1218,0.195,0.284,0.247,142,0.10528
DP00048r023_3,14.16,0.1219,0.496,0.213,0.378,83,0.10611
DP02086r001_2,18.7,0.1202,0.201,0.278,0.278,142,0.10676
DP00070r001_3,20.72,0.2405,0.918,0.242,0.337,140,0.10753
DP01149r001_2,9.28,0.5451,0.533,0.337,0.365,150,0.10777
DP01149r001_4,9.24,0.5535,0.52,0.359,0.345,150,0.10823
DP01475r001_4,4.82,0.4561,0,0.306,0.159,310,0.10829
DP01149r001_1,9.39,0.5582,0.582,0.351,0.357,150,0.10834
DP01149r001_3,10.19,0.5358,0.26,0.37,0.371,150,0.10843
DP01149r001_5,9.25,0.5374,0.592,0.383,0.366,150,0.10851
DP00070r001_5,20.83,0.2454,0.933,0.254,0.44,140,0.10884
DP01090r005_1,61.39,0.2722,0.098,0.349,0.091,1500,0.10889
