modelID tmalign RMSD lddt pcons proq4 dan seqlength
DP00005r001_1 0.20006 29.16 0.5273 0.319 0.299 0.384 107
DP00005r001_2 0.22235 30.98 0.5336 0.418 0.34299999999999997 0.37200000000000005 107
DP00005r001_3 0.20396 31.16 0.5411 0.29100000000000004 0.358 0.38 107
DP00005r001_4 0.22011 30.73 0.5438 0.408 0.341 0.373 107
DP00005r001_5 0.20599 30.89 0.5336 0.4370000000000001 0.344 0.391 107
DP00006r005_1 0.67848 4.26 0.5059 0.8370000000000001 0.529 0.49 104
DP00006r005_2 0.69896 3.65 0.5163 0.911 0.537 0.5 104
DP00006r005_3 0.69014 3.56 0.5132 0.895 0.514 0.5329999999999999 104
DP00006r005_4 0.70444 3.45 0.5133 0.904 0.519 0.518 104
DP00006r005_5 0.69525 3.68 0.5144 0.914 0.564 0.53 104
DP00011r006_1 0.48194 4.91 0.3835 0.778 0.293 0.44799999999999995 46
DP00011r006_2 0.46533 4.01 0.3792 0.726 0.243 0.5 46
DP00011r006_3 0.47621 5.34 0.379 0.655 0.261 0.474 46
DP00011r006_4 0.48752 3.92 0.3856 0.773 0.253 0.509 46
DP00011r006_5 0.48563 4.61 0.3866 0.7440000000000001 0.28 0.505 46
DP00015r006_1 0.4115 4.01 0.6012 0.875 0.252 0.49 76
DP00015r006_2 0.42727 3.17 0.6436 0.738 0.262 0.494 76
DP00015r006_3 0.42286 4.5 0.6062 0.775 0.237 0.47 76
DP00015r006_4 0.41953999999999997 3.94 0.6028 0.906 0.253 0.578 76
DP00015r006_5 0.40948 3.85 0.6121 0.882 0.23600000000000002 0.598 76
DP00016r001_1 0.56181 6.46 0.4846 0.7809999999999999 0.354 0.303 164
DP00016r001_2 0.55778 7.9 0.4876 0.7559999999999999 0.335 0.282 164
DP00016r001_3 0.5502199999999999 6.51 0.4926 0.7979999999999999 0.303 0.295 164
DP00016r001_4 0.57717 5.33 0.489 0.753 0.317 0.294 164
DP00016r001_5 0.54422 8.13 0.4801 0.7709999999999999 0.36700000000000005 0.297 164
DP00017r001_1 0.29502 25.14 0.3308 0.4320000000000001 0.242 0.22399999999999998 316
DP00017r001_2 0.28584 24.63 0.3088 0.339 0.23600000000000002 0.201 316
DP00017r001_3 0.29006 26.27 0.3507 0.359 0.23600000000000002 0.20600000000000002 316
DP00017r001_4 0.23759 27.9 0.3493 0.313 0.262 0.21899999999999997 316
DP00017r001_5 0.27497 26.7 0.3217 0.365 0.245 0.209 316
DP00018r011_1 0.39159 17.37 0.5729 0.435 0.366 0.271 198
DP00018r011_2 0.47653 16.59 0.5725 0.513 0.335 0.261 198
DP00018r011_3 0.43573 15.69 0.5811 0.531 0.353 0.267 198
DP00018r011_4 0.4265 16.23 0.5748 0.4970000000000001 0.349 0.252 198
DP00018r011_5 0.39749 16.83 0.5394 0.406 0.264 0.214 198
DP00026r001_1 0.36782 8.21 0.3528 0.918 0.256 0.6509999999999999 40
DP00026r001_2 0.35067 8.37 0.3234 0.863 0.26 0.569 40
DP00026r001_3 0.35406 8.46 0.3331 0.85 0.251 0.713 40
DP00026r001_4 0.3683 8.19 0.3533 0.918 0.255 0.6859999999999999 40
DP00026r001_5 0.36772 8.19 0.3529 0.919 0.257 0.662 40
DP00026r005_1 0.4294 9.39 0.4338 0.929 0.36 0.52 65
DP00026r005_2 0.42933000000000004 9.45 0.4326 0.923 0.341 0.528 65
DP00026r005_3 0.42938999999999994 9.16 0.4333 0.887 0.342 0.563 65
DP00026r005_4 0.43555 9.23 0.4311 0.8590000000000001 0.35 0.516 65
DP00026r005_5 0.42943000000000003 9.63 0.4308 0.8959999999999999 0.35600000000000004 0.478 65
DP00027r002_1 0.35523000000000005 10.38 0.5627 0.923 0.451 0.602 57
DP00027r002_2 0.37940999999999997 10.49 0.525 0.86 0.387 0.44299999999999995 57
DP00027r002_3 0.35176 10.2 0.5537 0.928 0.493 0.568 57
DP00027r002_4 0.36582 10.1 0.5572 0.909 0.419 0.562 57
DP00027r002_5 0.37055 10.11 0.5612 0.922 0.419 0.581 57
DP00033r001_1 0.42658999999999997 4.1 0.1936 0.601 0.317 0.192 351
DP00033r001_2 0.41943 4.06 0.2099 0.613 0.316 0.193 351
DP00033r001_3 0.40709 4.63 0.2065 0.574 0.321 0.21600000000000003 351
DP00033r001_4 0.34187 4.44 0.2103 0.562 0.316 0.16699999999999998 351
DP00033r001_5 0.40442 4.32 0.2143 0.534 0.34 0.204 351
DP00037r002_1 0.32315 11.29 0.5692 0.665 0.308 0.526 54
DP00037r002_2 0.32469000000000003 11.17 0.5191 0.6579999999999999 0.294 0.51 54
DP00037r002_3 0.33192 10.23 0.574 0.736 0.325 0.51 54
DP00037r002_4 0.33728 10.62 0.61 0.7390000000000001 0.32 0.54 54
DP00037r002_5 0.33458000000000004 9.88 0.5770000000000001 0.6920000000000001 0.327 0.53 54
DP00041r001_1 0.41244 16.87 0.4688 0.483 0.539 0.491 204
DP00041r001_2 0.40889000000000003 21.43 0.4651 0.475 0.523 0.47200000000000003 204
DP00041r001_3 0.40871999999999997 21.5 0.469 0.489 0.534 0.504 204
DP00041r001_4 0.41048 21.0 0.467 0.4920000000000001 0.536 0.48100000000000004 204
DP00041r001_5 0.40861 19.89 0.4666 0.473 0.5429999999999999 0.491 204
DP00048r020_1 0.33771999999999996 4.05 0.4972 0.478 0.27399999999999997 0.45299999999999996 39
DP00048r020_2 0.40253 4.39 0.5273 0.546 0.231 0.439 39
DP00048r020_3 0.34229 5.04 0.4567 0.429 0.23600000000000002 0.41 39
DP00048r020_4 0.38068 4.65 0.5142 0.542 0.275 0.45 39
DP00048r020_5 0.37877 6.07 0.4984 0.441 0.349 0.428 39
DP00048r023_1 0.1034 15.36 0.1264 0.628 0.233 0.36200000000000004 83
DP00048r023_2 0.11115 14.87 0.1217 0.598 0.239 0.371 83
DP00048r023_3 0.10611 14.16 0.1219 0.496 0.213 0.37799999999999995 83
DP00048r023_4 0.10002 16.32 0.1272 0.596 0.218 0.386 83
DP00048r023_5 0.12087 12.52 0.1245 0.4920000000000001 0.233 0.37 83
DP00052r001_1 0.38725 14.15 0.4122 0.506 0.449 0.297 285
DP00052r001_2 0.41113 13.12 0.4226 0.496 0.47700000000000004 0.3 285
DP00052r001_3 0.39871 14.55 0.4193 0.463 0.456 0.292 285
DP00052r001_4 0.42046000000000006 11.28 0.4169 0.506 0.47600000000000003 0.324 285
DP00052r001_5 0.37489 14.51 0.4156 0.494 0.479 0.33399999999999996 285
DP00053r001_1 0.20569 7.99 0.1974 0.843 0.522 0.705 101
DP00053r001_2 0.23443000000000003 3.76 0.1963 0.838 0.522 0.7659999999999999 101
DP00053r001_3 0.20418 5.64 0.1954 0.85 0.532 0.738 101
DP00053r001_4 0.21969 9.26 0.1989 0.815 0.525 0.754 101
DP00053r001_5 0.21055 4.37 0.1943 0.8490000000000001 0.54 0.74 101
DP00055r002_1 0.68043 4.68 0.4473 0.91 0.643 0.5920000000000001 73
DP00055r002_2 0.68767 4.65 0.4408 0.928 0.627 0.586 73
DP00055r002_3 0.68465 4.32 0.4453 0.907 0.627 0.5920000000000001 73
DP00055r002_4 0.68698 4.7 0.4333 0.8690000000000001 0.613 0.542 73
DP00055r002_5 0.68032 4.58 0.4489 0.9 0.638 0.588 73
DP00063r001_1 0.24195999999999998 17.67 0.1864 0.8859999999999999 0.209 0.8740000000000001 50
DP00063r001_2 0.2418 17.51 0.1796 0.843 0.23 0.728 50
DP00063r001_3 0.24185 17.74 0.1865 0.872 0.205 0.8809999999999999 50
DP00063r001_4 0.24222 17.69 0.1833 0.879 0.21899999999999997 0.805 50
DP00063r001_5 0.24204 17.12 0.1827 0.67 0.217 0.75 50
DP00065r004_1 0.24236999999999997 25.07 0.07686 0.254 0.519 0.304 555
DP00065r004_2 0.23128 26.2 0.0771 0.241 0.514 0.321 555
DP00065r004_3 0.24750999999999998 25.58 0.0776 0.289 0.521 0.324 555
DP00065r004_4 0.20285 29.3 0.0779 0.293 0.516 0.29600000000000004 555
DP00065r004_5 0.18953 30.86 0.0783 0.294 0.509 0.294 555
DP00068r001_1 0.12838 7.19 0.4 0.0 0.426 0.541 206
DP00068r001_2 0.17675 7.46 0.4038 0.0 0.433 0.5579999999999999 206
DP00068r001_3 0.15502 7.21 0.4491 0.0 0.43200000000000005 0.506 206
DP00068r001_4 0.12713 7.49 0.409 0.0 0.426 0.61 206
DP00068r001_5 0.17690999999999998 7.42 0.3961 0.0 0.423 0.55 206
DP00070r001_1 0.10955 20.82 0.2462 0.941 0.21600000000000003 0.462 140
DP00070r001_2 0.10939000000000002 20.76 0.2411 0.925 0.22699999999999998 0.395 140
DP00070r001_3 0.10753 20.72 0.2405 0.918 0.242 0.337 140
DP00070r001_4 0.10920999999999999 20.83 0.2456 0.921 0.215 0.462 140
DP00070r001_5 0.10884 20.83 0.2454 0.933 0.254 0.44 140
DP00075r005_1 0.8318200000000001 2.08 0.7469 0.959 0.43799999999999994 0.836 77
DP00075r005_2 0.8365100000000001 1.76 0.7624 0.953 0.449 0.8220000000000001 77
DP00075r005_3 0.83304 1.88 0.7481 0.967 0.41700000000000004 0.8240000000000001 77
DP00075r005_4 0.83983 1.84 0.7496 0.967 0.43 0.826 77
DP00075r005_5 0.8322799999999999 2.11 0.7631 0.953 0.43700000000000006 0.818 77
DP00076r002_1 0.28253 6.77 0.4743 0.967 0.284 0.486 48
DP00076r002_2 0.2907 6.8 0.4676 0.965 0.284 0.5379999999999999 48
DP00076r002_3 0.28943 6.86 0.4612 0.945 0.266 0.535 48
DP00076r002_4 0.28626999999999997 6.83 0.452 0.963 0.275 0.514 48
DP00076r002_5 0.28715 6.87 0.4674 0.959 0.258 0.588 48
DP00081r001_1 0.25379 14.2 0.1627 0.505 0.248 0.469 67
DP00081r001_2 0.23206 14.34 0.1655 0.657 0.28800000000000003 0.484 67
DP00081r001_3 0.23701 14.7 0.1648 0.6559999999999999 0.257 0.504 67
DP00081r001_4 0.23496999999999998 14.21 0.172 0.6609999999999999 0.262 0.502 67
DP00081r001_5 0.24600999999999998 14.42 0.1659 0.6559999999999999 0.255 0.473 67
DP00082r001_1 0.25756 10.79 0.2377 0.823 0.433 0.382 98
DP00082r001_2 0.25066 10.33 0.2387 0.8859999999999999 0.45 0.392 98
DP00082r001_3 0.24916999999999997 10.43 0.2394 0.885 0.423 0.358 98
DP00082r001_4 0.25903000000000004 10.31 0.2386 0.889 0.43799999999999994 0.368 98
DP00082r001_5 0.25511 10.31 0.2373 0.8859999999999999 0.442 0.368 98
DP00083r001_1 0.76517 2.59 0.7343 0.943 0.344 0.93 57
DP00083r001_2 0.76012 2.61 0.7249 0.955 0.358 0.953 57
DP00083r001_3 0.76039 2.63 0.7222 0.95 0.34600000000000003 0.9129999999999999 57
DP00083r001_4 0.76463 2.52 0.7283 0.926 0.377 0.9520000000000001 57
DP00083r001_5 0.66864 3.56 0.6514 0.835 0.304 0.794 57
DP00084r006_1 0.2985 0.3 0.3705 0.833 0.285 0.46 58
DP00084r006_2 0.29853 0.3 0.3685 0.769 0.22899999999999998 0.428 58
DP00084r006_3 0.29833000000000004 0.31 0.3717 0.7929999999999999 0.321 0.494 58
DP00084r006_4 0.25851 0.84 0.3562 0.7859999999999999 0.259 0.433 58
DP00084r006_5 0.21116 2.78 0.3454 0.721 0.21600000000000003 0.41100000000000003 58
DP00085r001_1 0.46501000000000003 9.26 0.6255 0.823 0.43200000000000005 0.375 124
DP00085r001_2 0.45898 9.01 0.6346 0.825 0.389 0.363 124
DP00085r001_3 0.45903999999999995 8.88 0.6252 0.79 0.368 0.37799999999999995 124
DP00085r001_4 0.45997 9.06 0.6336 0.785 0.389 0.365 124
DP00085r001_5 0.46188 10.19 0.6377 0.7979999999999999 0.418 0.344 124
DP00086r009_1 0.52322 6.03 0.2819 0.851 0.27899999999999997 0.446 74
DP00086r009_2 0.5091100000000001 5.93 0.2739 0.866 0.299 0.4 74
DP00086r009_3 0.51485 6.14 0.2824 0.8220000000000001 0.252 0.445 74
DP00086r009_4 0.51603 5.93 0.2783 0.851 0.27899999999999997 0.442 74
DP00086r009_5 0.52079 5.74 0.2789 0.825 0.31 0.457 74
DP00086r015_1 0.27726999999999996 8.44 0.4513 0.915 0.228 0.441 93
DP00086r015_2 0.27482 8.39 0.4645 0.8170000000000001 0.23800000000000002 0.37200000000000005 93
DP00086r015_3 0.28546 8.35 0.4528 0.904 0.22 0.424 93
DP00086r015_4 0.27991 8.44 0.4471 0.917 0.214 0.41 93
DP00086r015_5 0.28189000000000003 8.4 0.4567 0.92 0.21899999999999997 0.414 93
DP00088r001_1 0.29484 11.85 0.3302 0.7440000000000001 0.311 0.489 111
DP00088r001_2 0.29441 12.45 0.3358 0.8370000000000001 0.312 0.406 111
DP00088r001_3 0.29536999999999997 12.16 0.3328 0.855 0.315 0.435 111
DP00088r001_4 0.2949 12.41 0.3351 0.816 0.317 0.414 111
DP00088r001_5 0.29420999999999997 12.42 0.32899999999999996 0.823 0.314 0.406 111
DP00088r003_1 0.5797 5.5 0.6989 0.6779999999999999 0.217 0.552 51
DP00088r003_2 0.5575899999999999 9.14 0.6501 0.73 0.22699999999999998 0.578 51
DP00088r003_3 0.5543399999999999 6.94 0.6583 0.716 0.231 0.602 51
DP00088r003_4 0.555 7.85 0.6629999999999999 0.7070000000000001 0.223 0.591 51
DP00088r003_5 0.58175 5.52 0.7065 0.72 0.21600000000000003 0.551 51
DP00091r001_1 0.17723 20.95 0.1363 0.5670000000000001 0.401 0.531 84
