modelID pcons proq4 qmeanDisCo seqlen dan
DP00003r002_4 0.99 0.527 0.6729999999999999 41 0.713
DP00003r002_1 0.99 0.547 0.687 41 0.7070000000000001
DP00003r002_3 0.989 0.5720000000000001 0.696 41 0.677
DP00003r002_5 0.993 0.55 0.6779999999999999 41 0.7190000000000001
DP00003r002_2 0.992 0.599 0.685 41 0.706
DP00007r002_2 0.516 0.305 0.049 42 0.474
DP00007r002_3 0.39 0.304 0.41 42 0.488
DP00007r002_1 0.421 0.3 0.39 42 0.542
DP00007r002_4 0.514 0.26 0.361 42 0.556
DP00007r002_5 0.4270000000000001 0.284 0.4 42 0.586
DP00008r013_3 0.182 0.257 0.395 256 0.21
DP00008r013_2 0.219 0.233 0.414 256 0.22399999999999998
DP00008r013_1 0.222 0.276 0.464 256 0.235
DP00008r013_5 0.18600000000000005 0.253 0.4370000000000001 256 0.222
DP00008r013_4 0.203 0.279 0.384 256 0.22899999999999998
DP00012r007_3 0.289 0.343 0.344 185 0.27
DP00012r007_5 0.28800000000000003 0.344 0.396 185 0.272
DP00012r007_2 0.226 0.342 0.475 185 0.281
DP00012r007_4 0.245 0.325 0.393 185 0.278
DP00012r007_1 0.28 0.321 0.423 185 0.282
DP00014r004_4 0.894 0.447 0.6859999999999999 62 0.624
DP00014r004_3 0.905 0.457 0.6729999999999999 62 0.632
DP00014r004_2 0.914 0.448 0.711 62 0.606
DP00014r004_5 0.902 0.431 0.679 62 0.654
DP00014r004_1 0.902 0.463 0.695 62 0.63
DP00020r001_2 0.264 0.365 0.361 123 0.35200000000000004
DP00020r001_3 0.303 0.338 0.495 123 0.34600000000000003
DP00020r001_5 0.335 0.301 0.35 123 0.359
DP00020r001_1 0.317 0.315 0.316 123 0.369
DP00020r001_4 0.332 0.29 0.387 123 0.369
DP00020r013_5 0.489 0.205 0.459 81 0.386
DP00020r013_3 0.463 0.174 0.654 81 0.43200000000000005
DP00020r013_2 0.514 0.199 0.431 81 0.382
DP00020r013_4 0.466 0.184 0.434 81 0.38799999999999996
DP00020r013_1 0.515 0.195 0.5379999999999999 81 0.364
DP00025r007_5 0.403 0.384 0.47 130 0.24600000000000002
DP00025r007_2 0.575 0.474 0.457 130 0.28600000000000003
DP00025r007_3 0.545 0.458 0.457 130 0.276
DP00025r007_1 0.5489999999999999 0.428 0.409 130 0.276
DP00025r007_4 0.501 0.464 0.421 130 0.302
DP00030r001_4 0.183 0.35200000000000004 0.488 186 0.253
DP00030r001_5 0.226 0.326 0.339 186 0.29600000000000004
DP00030r001_3 0.189 0.374 0.398 186 0.317
DP00030r001_2 0.245 0.343 0.3670000000000001 186 0.294
DP00030r001_1 0.227 0.292 0.272 186 0.28600000000000003
DP00039r001_4 0.222 0.359 0.458 90 0.264
DP00039r001_5 0.273 0.339 0.415 90 0.314
DP00039r001_1 0.254 0.332 0.514 90 0.264
DP00039r001_2 0.275 0.3670000000000001 0.578 90 0.322
DP00039r001_3 0.287 0.35700000000000004 0.43 90 0.317
DP00043r001_1 0.536 0.18600000000000005 0.445 49 0.391
DP00043r001_4 0.522 0.185 0.434 49 0.36700000000000005
DP00043r001_3 0.517 0.154 0.4320000000000001 49 0.42200000000000004
DP00043r001_5 0.339 0.17600000000000002 0.424 49 0.34700000000000003
DP00043r001_2 0.379 0.184 0.509 49 0.342
DP00060r001_5 0.586 0.314 0.302 38 0.47600000000000003
DP00060r001_1 0.614 0.349 0.462 38 0.473
DP00060r001_4 0.591 0.34 0.399 38 0.474
DP00060r001_2 0.547 0.217 0.446 38 0.469
DP00060r001_3 0.34700000000000003 0.398 0.436 38 0.49200000000000005
DP00062r002_2 0.214 0.234 0.271 130 0.289
DP00062r002_3 0.218 0.212 0.279 130 0.285
DP00062r002_4 0.199 0.239 0.349 130 0.276
DP00062r002_1 0.199 0.268 0.3720000000000001 130 0.298
DP00062r002_5 0.187 0.246 0.298 130 0.298
DP00064r001_1 0.726 0.28600000000000003 0.503 64 0.46
DP00064r001_3 0.7759999999999999 0.257 0.496 64 0.435
DP00064r001_5 0.754 0.266 0.517 64 0.45799999999999996
DP00064r001_2 0.635 0.274 0.547 64 0.435
DP00064r001_4 0.6629999999999999 0.26 0.452 64 0.44
DP00066r001_4 0.399 0.14800000000000002 0.448 113 0.395
DP00066r001_3 0.226 0.134 0.349 113 0.376
DP00066r001_5 0.414 0.16 0.408 113 0.353
DP00066r001_1 0.4320000000000001 0.16399999999999998 0.454 113 0.42200000000000004
DP00066r001_2 0.368 0.166 0.426 113 0.42
DP00071r001_2 0.202 0.254 0.509 156 0.27399999999999997
DP00071r001_4 0.187 0.244 0.407 156 0.298
DP00071r001_1 0.161 0.267 0.395 156 0.294
DP00071r001_5 0.18 0.206 0.35200000000000004 156 0.29600000000000004
DP00071r001_3 0.197 0.246 0.361 156 0.276
DP00074r001_1 0.136 0.295 0.35100000000000003 184 0.242
DP00074r001_5 0.193 0.285 0.394 184 0.25
DP00074r001_4 0.194 0.306 0.312 184 0.223
DP00074r001_3 0.206 0.28800000000000003 0.395 184 0.244
DP00074r001_2 0.246 0.29100000000000004 0.361 184 0.24600000000000002
DP00075r008_3 0.201 0.268 0.287 206 0.29
DP00075r008_4 0.174 0.261 0.333 206 0.298
DP00075r008_2 0.227 0.274 0.32 206 0.297
DP00075r008_5 0.141 0.262 0.456 206 0.252
DP00075r008_1 0.21 0.267 0.322 206 0.29600000000000004
DP00076r016_4 0.973 0.123 0.603 36 0.905
DP00076r016_1 0.969 0.123 0.617 36 0.8640000000000001
DP00076r016_3 0.928 0.13 0.397 36 0.509
DP00076r016_5 0.946 0.123 0.474 36 0.7440000000000001
DP00076r016_2 0.974 0.121 0.602 36 0.9059999999999999
DP00076r019_1 0.16399999999999998 0.289 0.371 226 0.23600000000000002
DP00076r019_2 0.17 0.262 0.381 226 0.231
DP00076r019_5 0.149 0.281 0.335 226 0.22899999999999998
DP00076r019_4 0.172 0.28600000000000003 0.303 226 0.23800000000000002
DP00076r019_3 0.112 0.301 0.503 226 0.233
DP00078r001_1 0.129 0.274 0.39 165 0.21600000000000003
DP00078r001_3 0.163 0.28 0.4270000000000001 165 0.23199999999999998
DP00078r001_2 0.14800000000000002 0.312 0.34700000000000003 165 0.257
DP00078r001_5 0.134 0.24 0.303 165 0.256
DP00078r001_4 0.162 0.247 0.441 165 0.257
DP00090r001_3 0.237 0.165 0.458 62 0.377
DP00090r001_4 0.228 0.135 0.513 62 0.514
DP00090r001_2 0.28 0.172 0.568 62 0.45399999999999996
DP00090r001_5 0.28300000000000003 0.165 0.569 62 0.494
DP00090r001_1 0.246 0.153 0.38 62 0.32799999999999996
DP00097r007_4 0.197 0.255 0.546 98 0.32299999999999995
DP00097r007_1 0.226 0.241 0.607 98 0.285
DP00097r007_2 0.156 0.239 0.454 98 0.28800000000000003
DP00097r007_3 0.199 0.226 0.6759999999999999 98 0.337
DP00097r007_5 0.191 0.241 0.58 98 0.34600000000000003
DP00100r001_5 0.917 0.236 0.606 35 0.528
DP00100r001_1 0.906 0.242 0.595 35 0.568
DP00100r001_4 0.931 0.232 0.631 35 0.568
DP00100r001_3 0.917 0.232 0.6509999999999999 35 0.529
DP00100r001_2 0.918 0.244 0.645 35 0.52
DP00107r001_3 0.433 0.273 0.37 35 0.35600000000000004
DP00107r001_4 0.354 0.177 0.483 35 0.395
